Name,Siblings and Spouses,female,Cabin Class 2,Cabin Class 3,Cherbourg,Queenstown,"Age (20, 28]","Age (28, 38]","Age (38, 80]",Mrs.,Miss,VIP,Survived,survival_prob
"Sagesser, Mlle. Emma",0,1,0,0,1,0,1,0,0,0,1,0,1,0.9353010564244503
"Eustis, Miss. Elizabeth Mussey",1,1,0,0,1,0,0,0,1,0,1,0,1,0.8477706770523417
"Taussig, Mr. Emil",1,0,0,0,0,0,0,0,1,0,0,0,0,0.2769560411072042
"Ryerson, Miss. Emily Borie",2,1,0,0,1,0,0,0,0,0,1,0,1,0.931824704062481
"Sharp, Mr. Percival James R",0,0,1,0,0,0,1,0,0,0,0,0,0,0.23575960477111427
"Thayer, Mr. John Borland Jr",0,0,0,0,1,0,0,0,0,0,0,0,1,0.698516627136988
"Abbott, Mrs. Stanton (Rosa Hunt)",1,1,0,1,0,0,0,1,0,1,0,0,1,0.6412845692231968
"Graham, Mrs. William Thompson (Edith Junkins)",0,1,0,0,0,0,0,0,1,1,0,0,1,0.9283415857312877
"Porter, Mr. Walter Chamberlain",0,0,0,0,0,0,0,0,1,0,0,0,0,0.3393728805823772
"Ohman, Miss. Velin",0,1,0,1,0,0,1,0,0,0,1,0,1,0.511639365518016
"Crease, Mr. Ernest James",0,0,0,1,0,0,0,0,0,0,0,0,0,0.1437713088179799
"Bateman, Rev. Robert James",0,0,1,0,0,0,0,0,1,0,0,1,0,0.16073339366394304
"Barton, Mr. David John",0,0,0,1,0,0,1,0,0,0,0,0,0,0.0898641604942734
"Mallet, Mr. Albert",1,0,1,0,1,0,0,1,0,0,0,0,0,0.2328232411645679
"Bourke, Mrs. John (Catherine)",1,1,0,1,0,1,0,1,0,1,0,0,0,0.6104251491803363
"Gronnestad, Mr. Daniel Danielsen",0,0,0,1,0,0,0,1,0,0,0,0,0,0.08681855079087356
"Ilett, Miss. Bertha",0,1,1,0,0,0,0,0,0,0,1,0,1,0.8477125647175113
"Lang, Mr. Fang",0,0,0,1,0,0,1,0,0,0,0,0,1,0.0898641604942734
"Newell, Miss. Marjorie",1,1,0,0,1,0,1,0,0,0,1,0,1,0.9151033585225046
"Silven, Miss. Lyyli Karoliina",0,1,1,0,0,0,0,0,0,0,1,0,1,0.8477125647175113
"Gilinski, Mr. Eliezer",0,0,0,1,0,0,1,0,0,0,0,0,0,0.0898641604942734
"Parrish, Mrs. (Lutie Davis)",0,1,1,0,0,0,0,0,1,1,0,0,1,0.8007724454218115
"Madill, Miss. Georgette Alexandra",0,1,0,0,0,0,0,0,0,0,1,0,1,0.9472066414568991
"Hickman, Mr. Leonard Mark",2,0,1,0,0,0,1,0,0,0,0,0,0,0.14640101951792803
"Mionoff, Mr. Stoytcho",0,0,0,1,0,0,1,0,0,0,0,0,0,0.0898641604942734
"Boulos, Miss. Nourelain",1,1,0,1,1,0,0,0,0,0,1,0,0,0.6454271691585802
"Ford, Mr. William Neal",1,0,0,1,0,0,0,0,0,0,0,0,0,0.11126991035914313
"Najib, Miss. Adele Kiamie ""Jane""",0,1,0,1,1,0,0,0,0,0,1,0,1,0.7094098781032452
"Adahl, Mr. Mauritz Nils Martin",0,0,0,1,0,0,0,1,0,0,0,0,0,0.08681855079087356
"Dodge, Master. Washington",0,0,0,0,0,0,0,0,0,0,0,0,1,0.6283795542280649
"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",1,1,1,0,0,0,0,1,0,1,0,0,1,0.8481505815744219
"Bourke, Mr. John",1,0,0,1,0,1,0,0,1,0,0,0,0,0.032262965254545584
"Vanden Steen, Mr. Leo Peter",0,0,0,1,0,0,1,0,0,0,0,0,0,0.0898641604942734
"Pasic, Mr. Jakob",0,0,0,1,0,0,1,0,0,0,0,0,0,0.0898641604942734
"Minahan, Dr. William Edward",2,0,0,0,0,1,0,0,1,0,0,1,0,0.23124264674005565
"Navratil, Mr. Michel (""Louis M Hoffman"")",0,0,1,0,0,0,0,1,0,0,0,0,0,0.22901359822015874
"Panula, Master. Eino Viljami",4,0,0,1,0,0,0,0,0,0,0,0,0,0.04934109534135817
"Allison, Miss. Helen Loraine",1,1,0,0,0,0,0,0,0,0,1,0,0,0.9304492462137179
"Lurette, Miss. Elise",0,1,0,0,1,0,0,0,1,0,1,0,1,0.881920437393148
"Barah, Mr. Hanna Assi",0,0,0,1,1,0,0,0,0,0,0,0,1,0.18704282576776693
